"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0140236","translation at presynapse",47,-0.899747716607728,-2.81793525949274,1e-10,3.009e-08,2.17052631578947e-08,805,"tags=79%, list=4%, signal=76%","Rpl5/Rpl24/Rpl36a/Rpl34/Rpl23a/Rpl13a/Rpl22/Rps26/Rps12/Rpl14/Rpl27a/Rpl28/Rpl23/Rpl26/Rpl8/Rpl12/Rpl13/Rps14/Rps16/Rpl7a/Rpl17/Rps15a/Rps11/Rpl27/Rpl7/Rps27a/Rps24/Rpl32/Rpl10a/Rps10/Rps5/Rpl29/Rpl15/Rpl9/Rpl35/Uba52/Rpl10"
"GO:0140241","translation at synapse",48,-0.895360882608497,-2.79745987526194,1e-10,3.009e-08,2.17052631578947e-08,805,"tags=77%, list=4%, signal=74%","Rpl5/Rpl24/Rpl36a/Rpl34/Rpl23a/Rpl13a/Rpl22/Rps26/Rps12/Rpl14/Rpl27a/Rpl28/Rpl23/Rpl26/Rpl8/Rpl12/Rpl13/Rps14/Rps16/Rpl7a/Rpl17/Rps15a/Rps11/Rpl27/Rpl7/Rps27a/Rps24/Rpl32/Rpl10a/Rps10/Rps5/Rpl29/Rpl15/Rpl9/Rpl35/Uba52/Rpl10"
"GO:0140242","translation at postsynapse",48,-0.895360882608497,-2.79745987526194,1e-10,3.009e-08,2.17052631578947e-08,805,"tags=77%, list=4%, signal=74%","Rpl5/Rpl24/Rpl36a/Rpl34/Rpl23a/Rpl13a/Rpl22/Rps26/Rps12/Rpl14/Rpl27a/Rpl28/Rpl23/Rpl26/Rpl8/Rpl12/Rpl13/Rps14/Rps16/Rpl7a/Rpl17/Rps15a/Rps11/Rpl27/Rpl7/Rps27a/Rps24/Rpl32/Rpl10a/Rps10/Rps5/Rpl29/Rpl15/Rpl9/Rpl35/Uba52/Rpl10"
"GO:0002181","cytoplasmic translation",160,-0.675512724534376,-2.47434409216802,1e-10,3.009e-08,2.17052631578947e-08,1176,"tags=48%, list=6%, signal=45%","Eif3e/Rpl35a/Eif4ebp1/Hnrnpd/Rps8/Rpl5/Rpl24/Eif3d/Rps19/Rplp1/Rpl36a/Rpl34/Rpl23a/Rpl13a/Rps18/Rpl18a/Rps2/Rps25/Rps23/Rpl22/Rps26/Rps12/Rpl14/Eif4a1/Eif3m/Rps6/Rwdd1/Rpsa/Rpl27a/Eif3i/Pkm/Fau/Rpl28/Rpl23/Rps20/Rpl26/Rpl8/Rpl12/Eif3f/Rps3/Rpl13/Rpl18/Rps14/Rpl22l1/Rpl3/Rpl30/Eif3k/Rps16/Rpl21/Rpl7a/Rpl17/Rps15a/Rps11/Rps9/Rpl19/Rpl27/Rpl7/Rps27a/Rps24/Rpl32/Ybx1/Rpl10a/Eif3h/Rplp0/Rps10/Rps5/Rps13/Rps3a1/Rpl29/Cnbp/Rpl15/Rps7/Rpl11/Rps4x/Rpl9/Rpl35/Uba52"
"GO:0006119","oxidative phosphorylation",126,-0.636163136384709,-2.28882953075058,1e-10,3.009e-08,2.17052631578947e-08,1729,"tags=61%, list=9%, signal=56%","Ndufa1/Coa6/Uqcrc1/Stoml2/Ndufb2/Ccnb1/Sdhd/Ppif/Cox6b2/Dguok/Uqcr11/Pink1/Cycs/Uqcc3/Ndufa10/Ndufa2/Ndufa9/Uqcr10/Dnajc15/Cox7c/Dld/Rhoa/Ndufs6/Coq7/Slc25a33/Ndufc1/Cdk1/Cyc1/Nupr1/Uqcrc2/Ndufs2/Ndufs4/Ndufa6/Iscu/Cox6c/Ndufa5/Chchd2/Ndufv1/Ndufs8/Uqcc2/Ndufa7/Cox8a/Uqcrq/Cox7a2l/Ndufs5/Ndufa12/Cox6a1/Sdhb/Cox7b/Ndufv3/Ndufa13/Ndufs7/Ndufs3/Ndufb4/Cox7a2/Ndufa11/Cox6b1/Uqcrh/Ndufa8/Ndufb9/Ndufb3/Uqcrb/Uqcrfs1/Ndufab1/Park7/Ndufv2/Ndufb5/Cox4i1/Ndufb7/Chchd10/Ndufb11/Ndufb6/Ndufb10/Ndufb8/Cox5b/Cox5a/Ndufc2"
"GO:0009060","aerobic respiration",169,-0.589012049892475,-2.20036958862674,1e-10,3.009e-08,2.17052631578947e-08,1729,"tags=53%, list=9%, signal=48%","Ndufa1/Coa6/Uqcrc1/Stoml2/Ndufb2/Ccnb1/Sdhd/Sirt3/Ppif/Mtfr1l/Cox6b2/Mup5/Dguok/Mrps36/Uqcr11/Sucla2/Idh3g/Pink1/Fh1/Cycs/Uqcc3/Ndufa10/Ndufa2/Ndufa9/Idh3a/Uqcr10/Dnajc15/Cox7c/Dld/Rhoa/Ndufs6/Coq7/Slc25a33/Ndufc1/Cdk1/Cyc1/Nupr1/Uqcrc2/Ndufs2/Ndufs4/Ndufa6/Iscu/Cox6c/Ndufa5/Chchd2/Ndufv1/Ndufs8/Uqcc2/Ndufa7/Suclg1/Cox8a/Uqcrq/Cox7a2l/Ndufs5/Ndufa12/Cox6a1/Sdhb/Cox7b/Ndufv3/Ndufa13/Ndufs7/Ndufs3/Ndufb4/Cox7a2/Ndufa11/Cox6b1/Uqcrh/Ndufa8/Ndufb9/Ndufb3/Uqcrb/Uqcrfs1/Ndufab1/Park7/Ndufv2/Ndufb5/Cox4i1/Mdh2/Ndufb7/Chchd10/Ndufb11/Ndufb6/Mdh1/Ndufb10/Ndufb8/Cox5b/Cox5a/Ndufc2/Mup4"
"GO:0045333","cellular respiration",215,-0.523392429231961,-2.0078832097373,1e-10,3.009e-08,2.17052631578947e-08,1747,"tags=45%, list=9%, signal=41%","Il10rb/Ndufa1/Coa6/Uqcrc1/Stoml2/Ndufb2/Ccnb1/Sdhd/Sirt3/Ppif/Mtfr1l/Cox6b2/Etfb/Mup5/Etfa/Dguok/Mrps36/Uqcr11/Sucla2/Idh3g/Pink1/Fh1/Cycs/Uqcc3/Ndufa10/Prelid1/Ndufa2/Ndufa9/Idh3a/Uqcr10/Dnajc15/Cox7c/Dld/Rhoa/Ndufs6/Coq7/Slc25a33/Ndufc1/Cdk1/Cyc1/Nupr1/Uqcrc2/Ndufs2/Ndufs4/Ndufa6/Iscu/Cox6c/Sod2/Ndufa5/Sdhaf4/Chchd2/Ndufv1/Ndufs8/Uqcc2/Ndufa7/Suclg1/Cox8a/Uqcrq/Cox7a2l/Ndufs5/Ndufa12/Cox6a1/Sdhb/Cox7b/Ndufv3/Ndufa13/Cisd1/Ndufs7/Ndufs3/Ndufb4/Cox7a2/Ndufa11/Cox6b1/Uqcrh/Ndufa8/Bax/Ndufb9/Ndufb3/Uqcrb/Uqcrfs1/Ndufab1/Park7/Ndufv2/Ndufb5/Cox4i1/Mdh2/Ndufb7/Chchd10/Ndufb11/Ndufb6/Mdh1/Ndufb10/Ndufb8/Cox5b/Cox5a/Ndufc2/Mup4"
"GO:0097485","neuron projection guidance",213,0.632160076500179,1.79679028718084,1e-10,3.009e-08,2.17052631578947e-08,2900,"tags=38%, list=15%, signal=33%","Vegfa/Sema3f/Agrn/Lama5/Lamb3/Ephb2/Nr4a3/Sema3e/Ulk1/Ephb3/Lamb2/Efnb2/Egr2/Sema3d/Lmo4/Nfib/Ngfr/Klf7/Lamc2/Edn1/Alcam/Nectin1/Ablim1/Plxna1/Tgfb2/Lama3/Ece1/Notch1/Bmpr2/Lrp1/Erbb2/Sema3c/Bcl11b/Chl1/Sema4c/Lamc1/Dag1/Unc5b/Boc/Ank3/Robo1/Arhgap35/Fzd3/Lama1/Gli3/Sema4a/Foxg1/Cyfip1/Plxna3/Trio/Ntn4/L1cam/Adam17/Sema4b/Lmtk2/Smo/Mycbp2/Wnt7b/Lrp2/Ptprj/Pax6/Neo1/Kalrn/Bmpr1b/Diaph1/Vangl2/Usp33/Unc5a/Bmp7/Notch3/Ephb6/Megf9/Ptch1/Dvl1/Foxp1/Slit2/Sema5a/Epha4/Diaph2/Efnb1/Kif21a/Enah"
"GO:0048562","embryonic organ morphogenesis",262,0.622753146227844,1.78781506488842,1e-10,3.009e-08,2.17052631578947e-08,3108,"tags=37%, list=17%, signal=31%","Lrig1/Epha2/Six4/Hes1/Grhl2/Tead1/Ephb2/Nr4a3/Eya4/Setd2/Tcf7l2/Sp1/Yap1/Celsr1/Phactr4/Mib1/Irx5/Edn1/Dlg1/Nectin1/Tgfb2/Sparc/Hipk1/Runx2/Otx1/Notch1/Rbpj/Tulp3/Sobp/Lrig3/Ndst1/Scrib/Kdm6a/Bcr/Fzd5/Pcgf2/Mical2/Eya1/Spry2/Kdm2a/Enpp1/Lrp6/Pkd2/Fzd3/Asxl2/Gli3/Nckap1/Mmp14/Dvl3/Foxg1/Slc39a1/Chd7/Slitrk6/Arid1a/Fgfr2/Ptk7/Rdh10/Tgfbr1/Sox9/Smo/Frs2/Pax6/Six1/Vangl2/Notch2/Sec24b/Smad3/Smad2/Kdm2b/Bmp7/Fgfr1/Hyal1/Hspg2/Tgfbr2/Cited2/Sod1/Smarca4/Arl13b/Rest/Ift140/Aldh1a1/Dvl1/Pls1/Abr/Med12/Nipbl/Flvcr1/Acvr1/Hipk2/Tshz1/Hif1a/Mdfi/Psen1/Wnt9a/Dll1/Sp3"
"GO:0007411","axon guidance",212,0.629664904376625,1.78773309542589,1e-10,3.009e-08,2.17052631578947e-08,2900,"tags=38%, list=15%, signal=33%","Vegfa/Sema3f/Agrn/Lama5/Lamb3/Ephb2/Nr4a3/Sema3e/Ulk1/Ephb3/Lamb2/Efnb2/Egr2/Sema3d/Lmo4/Nfib/Ngfr/Klf7/Lamc2/Edn1/Alcam/Nectin1/Ablim1/Tgfb2/Lama3/Ece1/Notch1/Bmpr2/Lrp1/Erbb2/Sema3c/Bcl11b/Chl1/Sema4c/Lamc1/Dag1/Unc5b/Boc/Ank3/Robo1/Arhgap35/Fzd3/Lama1/Gli3/Sema4a/Foxg1/Cyfip1/Plxna3/Trio/Ntn4/L1cam/Adam17/Sema4b/Lmtk2/Smo/Mycbp2/Wnt7b/Lrp2/Ptprj/Pax6/Neo1/Kalrn/Bmpr1b/Diaph1/Vangl2/Usp33/Unc5a/Bmp7/Notch3/Ephb6/Megf9/Ptch1/Dvl1/Foxp1/Slit2/Sema5a/Epha4/Diaph2/Efnb1/Kif21a/Enah"
"GO:0001654","eye development",384,0.571182074350977,1.65268483254899,1e-10,3.009e-08,2.17052631578947e-08,3108,"tags=34%, list=17%, signal=29%","Vegfa/Epha2/Klf4/Hes1/Skil/C3/Grhl2/Fgfr3/Prkci/Ephb2/Sipa1l3/Crybg3/Sp1/Cdon/Lamb2/Pds5b/Egfr/Fat1/Twsg1/Phactr4/Meis2/Kmt2c/Pou2f1/Nfib/Frem2/Nf1/Ski/Clic4/Irx5/Cfh/Stat3/Dlg1/Meis1/Alms1/Bcl2/Prom1/Pds5a/Nectin1/Tgfb2/Crybb3/Hipk1/Spred1/Notch1/Per1/Bmpr2/Foxp2/Pbx1/Lrp5/Ahr/Limk2/Tulp3/Pcnt/Tbc1d20/Bcl11b/Slc4a7/Slc25a25/Scrib/Nfia/Scaper/Tenm3/Thrb/Fzd5/Pygo2/Spry2/Gpd2/Zhx2/Atf6/Lrp6/Sos1/Arhgap35/Casz1/Lama1/Spred2/Gli3/Ppp1r13l/Sh3pxd2b/Chd7/Slitrk6/Arid1a/Fgfr2/Tbc1d32/Kdm5b/Rdh10/Tgfbr1/Sox9/Ppp2r3a/Frs2/Pax6/Bmpr1b/Med1/Sdk2/Notch2/Smad3/Kdm2b/Bmp7/Rxra/Rab3gap1/Tcirg1/Tsku/Jag1/Nhs/Tgfbr2/Nf2/Tdrd7/Grn/Cited2/B3glct/Tgif1/Smarca4/Smg9/Pknox1/Rdh13/Ift140/Aldh1a1/Nfix/Man2a1/Map3k1/Nipbl/Hipk2/Foxc1/Rpgr/Jmjd6/Hif1a/Rara/Pbx3/Psen1/Dll1/Cc2d2a/Sp3"
"GO:0150063","visual system development",387,0.570028256307175,1.6499369734296,1e-10,3.009e-08,2.17052631578947e-08,3108,"tags=33%, list=17%, signal=28%","Vegfa/Epha2/Klf4/Hes1/Skil/C3/Grhl2/Fgfr3/Prkci/Ephb2/Sipa1l3/Crybg3/Sp1/Cdon/Lamb2/Pds5b/Egfr/Fat1/Twsg1/Phactr4/Meis2/Kmt2c/Pou2f1/Nfib/Frem2/Nf1/Ski/Clic4/Irx5/Cfh/Stat3/Dlg1/Meis1/Alms1/Bcl2/Prom1/Pds5a/Nectin1/Tgfb2/Crybb3/Hipk1/Spred1/Notch1/Per1/Bmpr2/Foxp2/Pbx1/Lrp5/Ahr/Limk2/Tulp3/Pcnt/Tbc1d20/Bcl11b/Slc4a7/Slc25a25/Scrib/Nfia/Scaper/Tenm3/Thrb/Fzd5/Pygo2/Spry2/Gpd2/Zhx2/Atf6/Lrp6/Sos1/Arhgap35/Casz1/Lama1/Spred2/Gli3/Ppp1r13l/Sh3pxd2b/Chd7/Slitrk6/Arid1a/Fgfr2/Tbc1d32/Kdm5b/Rdh10/Tgfbr1/Sox9/Ppp2r3a/Frs2/Pax6/Bmpr1b/Med1/Sdk2/Notch2/Smad3/Kdm2b/Bmp7/Rxra/Rab3gap1/Tcirg1/Tsku/Jag1/Nhs/Tgfbr2/Nf2/Tdrd7/Grn/Cited2/B3glct/Tgif1/Smarca4/Smg9/Pknox1/Rdh13/Ift140/Aldh1a1/Nfix/Man2a1/Map3k1/Nipbl/Hipk2/Foxc1/Rpgr/Jmjd6/Hif1a/Rara/Pbx3/Psen1/Dll1/Cc2d2a/Sp3"
"GO:0043010","camera-type eye development",341,0.570614868264138,1.64685971756867,1e-10,3.009e-08,2.17052631578947e-08,3108,"tags=34%, list=17%, signal=29%","Vegfa/Epha2/Klf4/Hes1/Skil/C3/Grhl2/Fgfr3/Ephb2/Crybg3/Sp1/Cdon/Lamb2/Pds5b/Egfr/Fat1/Twsg1/Phactr4/Kmt2c/Pou2f1/Nfib/Nf1/Ski/Clic4/Irx5/Cfh/Stat3/Dlg1/Meis1/Alms1/Prom1/Pds5a/Nectin1/Tgfb2/Crybb3/Hipk1/Spred1/Notch1/Per1/Bmpr2/Foxp2/Lrp5/Ahr/Limk2/Tulp3/Pcnt/Tbc1d20/Bcl11b/Slc4a7/Slc25a25/Scrib/Nfia/Scaper/Tenm3/Thrb/Fzd5/Pygo2/Spry2/Gpd2/Zhx2/Lrp6/Sos1/Arhgap35/Casz1/Lama1/Spred2/Gli3/Ppp1r13l/Chd7/Slitrk6/Arid1a/Fgfr2/Tbc1d32/Kdm5b/Rdh10/Tgfbr1/Sox9/Frs2/Pax6/Bmpr1b/Med1/Sdk2/Notch2/Smad3/Kdm2b/Bmp7/Rxra/Rab3gap1/Tcirg1/Tsku/Jag1/Nhs/Tgfbr2/Nf2/Tdrd7/Grn/Cited2/B3glct/Tgif1/Smarca4/Pknox1/Rdh13/Ift140/Aldh1a1/Nfix/Man2a1/Map3k1/Hipk2/Foxc1/Rpgr/Jmjd6/Hif1a/Rara/Psen1/Dll1/Cc2d2a/Sp3"
"GO:0048880","sensory system development",392,0.568646530220554,1.64552101543898,1e-10,3.009e-08,2.17052631578947e-08,3108,"tags=33%, list=17%, signal=28%","Vegfa/Epha2/Klf4/Hes1/Skil/C3/Grhl2/Fgfr3/Prkci/Ephb2/Sipa1l3/Crybg3/Sp1/Cdon/Ulk1/Lamb2/Pds5b/Egfr/Fat1/Twsg1/Phactr4/Meis2/Kmt2c/Pou2f1/Nfib/Frem2/Nf1/Ski/Clic4/Irx5/Cfh/Stat3/Dlg1/Meis1/Alms1/Bcl2/Prom1/Pds5a/Nectin1/Tgfb2/Crybb3/Hipk1/Spred1/Notch1/Per1/Bmpr2/Foxp2/Pbx1/Lrp5/Ahr/Limk2/Tulp3/Pcnt/Tbc1d20/Bcl11b/Slc4a7/Slc25a25/Scrib/Nfia/Scaper/Tenm3/Thrb/Fzd5/Pygo2/Spry2/Gpd2/Zhx2/Atf6/Lrp6/Sos1/Arhgap35/Casz1/Lama1/Spred2/Gli3/Ppp1r13l/Sh3pxd2b/Chd7/Slitrk6/Arid1a/Fgfr2/Tbc1d32/Kdm5b/Rdh10/Tgfbr1/Sox9/Ppp2r3a/Frs2/Pax6/Bmpr1b/Med1/Sdk2/Notch2/Smad3/Kdm2b/Bmp7/Rxra/Rab3gap1/Tcirg1/Tsku/Jag1/Nhs/Tgfbr2/Nf2/Tdrd7/Grn/Cited2/B3glct/Tgif1/Smarca4/Smg9/Pknox1/Rdh13/Ift140/Aldh1a1/Nfix/Man2a1/Map3k1/Nipbl/Hipk2/Foxc1/Rpgr/Jmjd6/Hif1a/Rara/Pbx3/Psen1/Dll1/Cc2d2a/Sp3"
