"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0140236","translation at presynapse",47,-0.898609330004847,-2.95366282326885,1e-10,8.64571428571429e-08,8.12781954887218e-08,1514,"tags=96%, list=8%, signal=89%","Rpl38/Rps12/Rps24/Rpl35/Rpl13a/Rpl4/Rpl24/Rpl28/Rpl13/Rpl6/Rps27/Rps27a/Rpl26/Rpl8/Rplp2/Rpl37a/Rpl15/Rpl37/Rps28/Rpl32/Rps14/Rpl36/Rpl5/Rpl23/Rpl14/Rpl12/Rps5/Rpl27a/Rpl34/Rps10/Rpl7/Rpl10a/Rpl17/Rpl9/Rpl7a/Rps11/Rpl29/Rpl10/Rps16/Rps26/Rpl27/Rpl35a/Rps15a/Rpl36a/Rpl22"
"GO:0002181","cytoplasmic translation",159,-0.744309292947785,-2.95315042483553,1e-10,8.64571428571429e-08,8.12781954887218e-08,1514,"tags=60%, list=8%, signal=56%","Rpl38/Eif3a/Rps9/Rpl41/Rps12/Rps24/Paip1/Rps17/Eif3l/Rpl35/Rps25/Rpl13a/Eif3c/Rpl4/Eif3g/Rps18/Eif3m/Rpl24/Rplp1/Rpl28/Rwdd1/Rpl13/Rpl6/Eef2/Denr/Rpsa/Rps27a/Fau/Rpl26/Rps8/Rpl8/Rpl18a/Rplp2/Eif5/Rpl37a/Rps23/Rpl15/Eif4h/Rps6/Rpl21/Eif4a2/Rps21/Rpl37/Rps28/Rpl32/Ybx1/Rps14/Rpl36/Rpl5/Cnbp/Eif2s2/Rpl19/Rps20/Rpl23/Rpl14/Rps3a1/Rpl12/Rps13/Rps7/Rps19/Rps5/Eif3h/Rpl27a/Rpl30/Rpl34/Rps10/Rpl7/Rpl18/Rpl10a/Rpl17/Rplp0/Eif3e/Rpl11/Rps3/Rpl9/Rpl7a/Rps11/Rpl3/Rps4x/Rpl22l1/Rpl29/Rps16/Pkm/Rps26/Rpl27/Eif4a1/Rpl39/Rpl35a/Eif3k/Rps15a/Rpl36a/Eif3f/Eif3i/Rps2/Rpl22"
"GO:0140241","translation at synapse",48,-0.899073892264981,-2.94419938768258,1e-10,8.64571428571429e-08,8.12781954887218e-08,1514,"tags=96%, list=8%, signal=89%","Rpl38/Rps12/Rps24/Rpl35/Rpl13a/Rpl4/Rpl24/Rpl28/Rpl13/Rpl6/Eef2/Rps27/Rps27a/Rpl26/Rpl8/Rplp2/Rpl37a/Rpl15/Rpl37/Rps28/Rpl32/Rps14/Rpl36/Rpl5/Rpl23/Rpl14/Rpl12/Rps5/Rpl27a/Rpl34/Rps10/Rpl7/Rpl10a/Rpl17/Rpl9/Rpl7a/Rps11/Rpl29/Rpl10/Rps16/Rps26/Rpl27/Rpl35a/Rps15a/Rpl36a/Rpl22"
"GO:0140242","translation at postsynapse",48,-0.899073892264981,-2.94419938768258,1e-10,8.64571428571429e-08,8.12781954887218e-08,1514,"tags=96%, list=8%, signal=89%","Rpl38/Rps12/Rps24/Rpl35/Rpl13a/Rpl4/Rpl24/Rpl28/Rpl13/Rpl6/Eef2/Rps27/Rps27a/Rpl26/Rpl8/Rplp2/Rpl37a/Rpl15/Rpl37/Rps28/Rpl32/Rps14/Rpl36/Rpl5/Rpl23/Rpl14/Rpl12/Rps5/Rpl27a/Rpl34/Rps10/Rpl7/Rpl10a/Rpl17/Rpl9/Rpl7a/Rps11/Rpl29/Rpl10/Rps16/Rps26/Rpl27/Rpl35a/Rps15a/Rpl36a/Rpl22"
"GO:0006119","oxidative phosphorylation",127,-0.609958912102596,-2.37868545985547,1e-10,8.64571428571429e-08,8.12781954887218e-08,1407,"tags=52%, list=7%, signal=49%","Slc25a33/Coq7/Snca/Ndufc1/Ndufs8/Dguok/Ndufv1/Cox7a2l/Ndufs4/Sdhb/Ndufs6/Chchd10/Cycs/Uqcrq/Ndufa9/Iscu/Ndufs5/Ndufab1/Ndufa2/Ndufb5/Cyc1/Ndufa11/Chchd2/Ndufb9/Ndufa5/Ndufa3/Cox4i1/Sdhd/Cox6c/Ndufb3/Ndufa8/Ndufs7/Cox7b/Uqcrc2/Ndufv2/Cox6b1/Cox6a1/Park7/Ndufb2/Ndufb11/Uqcc2/Cox7c/Ndufb8/Ndufa12/Uqcr11/Uqcr10/Ndufv3/Cox5a/Ndufb10/Cox7a2/Uqcrh/Ndufs2/Ndufa1/Uqcrfs1/Ndufb7/Cox5b/Ndufa6/Ndufb6/Ndufa13/Ndufs3/Ndufb4/Uqcrb/Ndufa7/Cox8a/Ndufc2/Rhoa"
"GO:0009060","aerobic respiration",170,-0.557270335980949,-2.24647625117165,1e-10,8.64571428571429e-08,8.12781954887218e-08,1452,"tags=44%, list=7%, signal=41%","Suclg1/Nop53/Slc25a33/Idh3g/Coq7/Snca/Idh3b/Ndufc1/Ndufs8/Dguok/Mtfr1l/Ndufv1/Cox7a2l/Ndufs4/Mrps36/Sdhb/Ndufs6/Pdhb/Chchd10/Cycs/Uqcrq/Ndufa9/Iscu/Ndufs5/Ndufab1/Ndufa2/Ndufb5/Cyc1/Ndufa11/Chchd2/Ndufb9/Ndufa5/Ndufa3/Cox4i1/Sdhd/Cox6c/Ndufb3/Ndufa8/Ndufs7/Cox7b/Uqcrc2/Ndufv2/Cox6b1/Cox6a1/Park7/Ndufb2/Ndufb11/Uqcc2/Cox7c/Ndufb8/Ndufa12/Uqcr11/Uqcr10/Ndufv3/Cox5a/Ndufb10/Cox7a2/Uqcrh/Ndufs2/Ndufa1/Uqcrfs1/Ndufb7/Cox5b/Ndufa6/Ndufb6/Ndufa13/Ndufs3/Mdh1/Ndufb4/Uqcrb/Ndufa7/Cox8a/Ndufc2/Mdh2/Rhoa"
"GO:0045333","cellular respiration",215,-0.521485035869522,-2.15034841101957,1e-10,8.64571428571429e-08,8.12781954887218e-08,1452,"tags=40%, list=7%, signal=37%","Suclg1/Nop53/Slc25a33/Idh3g/Coq7/Snca/Idh3b/Ndufc1/Ndufs8/Il10rb/Dguok/Mtfr1l/Ndufv1/Cox7a2l/Chchd4/Ndufs4/Mrps36/Sdhb/Coq10b/Ndufs6/Pdhb/Etfa/Chchd10/Sdhaf4/Cycs/Uqcrq/Bax/Ndufa9/Iscu/Ndufs5/Cisd1/Ndufab1/Ndufa2/Ndufb5/Cyc1/Ndufa11/Chchd2/Ndufb9/Ndufa5/Ndufa3/Sod2/Cox4i1/Sdhd/Cox6c/Ndufb3/Ndufa8/Ndufs7/Cox7b/Uqcrc2/Prelid1/Ndufv2/Cox6b1/Cox6a1/Park7/Ndufb2/Ndufb11/Uqcc2/Etfb/Cox7c/Ndufb8/Ndufa12/Uqcr11/Uqcr10/Ndufv3/Cox5a/Ndufb10/Cox7a2/Uqcrh/Ndufs2/Ndufa1/Uqcrfs1/Ndufb7/Cox5b/Ndufa6/Ndufb6/Ndufa13/Ndufs3/Mdh1/Ndufb4/Uqcrb/Ndufa7/Cox8a/Ndufc2/Mdh2/Rhoa"
"GO:0033108","mitochondrial respiratory chain complex assembly",106,-0.616991262668735,-2.30054116808337,7.18181229777764e-10,5.43304100326878e-07,5.10759150914317e-07,1456,"tags=48%, list=7%, signal=45%","Cox16/Tmem126a/Slc25a33/Lyrm2/Cox20/Ndufc1/Ndufs8/Samm50/Cox7a2l/Chchd4/Tmem223/Ndufs4/Ndufs6/Ndufaf8/Sdhaf4/Cox17/Ndufa9/Ndufs5/Ndufab1/Ndufa2/Ndufb5/Higd1a/Ndufa11/Ndufb9/Rab5if/Ndufa5/Ndufa3/Coa3/Pet100/Cox14/Ndufb3/Ndufa8/Ndufs7/Ndufb2/Ndufb11/Uqcc2/Ndufb8/Fmc1/Higd2a/Ndufa12/Ndufb10/Cox7a2/Ndufs2/Ndufa1/Ndufb7/Ndufa6/Ndufb6/Ndufa13/Ndufs3/Ndufb4/Ndufc2"
"GO:0015980","energy derivation by oxidation of organic compounds",309,-0.426598500386059,-1.82758962529575,1.53382242777939e-09,1.03141037032454e-06,9.6962692656697e-07,1657,"tags=32%, list=8%, signal=30%","Ndufa10/Stoml2/Dyrk2/Khk/Gsk3a/Suclg1/Nop53/Ppp1ca/Slc25a33/Idh3g/Ppp1cc/Coq7/Snca/Idh3b/Ndufc1/Ndufs8/Il10rb/Dguok/Mtfr1l/Ndufv1/Cox7a2l/Ppp1cb/Chchd4/Ndufs4/Mrps36/Sdhb/Coq10b/Ndufs6/Pdhb/Etfa/Atg3/Chchd10/Sdhaf4/Cycs/Uqcrq/Bax/Ptges3/Hmgb1/Ppp1r2/Comt/Ndufa9/Iscu/Ndufs5/Cisd1/Ndufab1/Ndufa2/Ndufb5/Cyc1/Ndufa11/Chchd2/Ndufb9/Ndufa5/Ndufa3/Sod2/Cox4i1/Sdhd/Cox6c/Ndufb3/Ndufa8/Ndufs7/Cox7b/Uqcrc2/Prelid1/Ndufv2/Cox6b1/Cox6a1/Park7/Ndufb2/Ndufb11/Uqcc2/Etfb/Cox7c/Ndufb8/Ndufa12/Uqcr11/Uqcr10/Ndufv3/Cox5a/Ndufb10/Cox7a2/Uqcrh/Ndufs2/Ndufa1/Uqcrfs1/Ndufb7/Cox5b/Ndufa6/Ndufb6/Ndufa13/Ndufs3/Mdh1/Ndufb4/Uqcrb/Ndufa7/Cox8a/Ndufc2/Mdh2/Rhoa"
"GO:0007269","neurotransmitter secretion",161,0.594126873015154,1.82254605986373,1.43154864575326e-08,7.87612036736248e-06,7.40432577061853e-06,4070,"tags=42%, list=20%, signal=33%","Bglap/Rims3/Nf1/Unc13b/Rims1/Erc1/Nr4a1/Rims2/Pclo/Ppfia2/Pak1/Cacna1b/Syt7/Unc13c/Cacnb4/Vamp1/Trim9/Bglap2/Snap91/Synj1/Stxbp5/Tspoap1/Camk2a/Stx19/Sv2c/Ctbp2/Prepl/Brsk1/Stx1a/Stxbp1/Sv2a/Snap29/Cspg5/Osbpl2/Cask/Syt11/Braf/Syn2/Asic1/Slc30a1/Napb/Cacna1d/Stx2/Syn1/Stxbp5l/Mef2c/Slc4a8/Snap23/Ica1/Rhot1/Nrxn2/Syn3/Atp2a2/Unc13a/Gpr158/Dgki/Cadps/Fbxo45/Prkca/Snapin/Ncs1/Grik5/Prkn/Stxbp2/Cadps2/Dnm1l/Cacna1a"
