"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rtp4",4.46391029006025e-46,2.22194236426028,1,1,1.08856916333409e-41
"Ifi27l2a",6.45943648104771e-36,3.97215560625924,1,1,1.57519818026829e-31
"Ifit3",2.41964845310818e-32,4.58861511634402,1,1,5.90055471774962e-28
"Rpl39",3.65177210288757e-32,-0.803905697916662,1,1,8.90521145010162e-28
"Isg15",9.33786951607934e-31,4.56798061493155,1,1,2.27713286019111e-26
"Ifit1",6.87449146316487e-30,3.92079620814296,1,1,1.67641348820739e-25
"Ddx58",1.03326813324554e-26,1.45048475311412,1,1,2.51972766973257e-22
"Ifitm3",3.13008239884909e-24,1.93401018328853,1,1,7.63301893783338e-20
"Slfn2",1.76402008130441e-22,3.26728945499116,1,1,4.30173937026894e-18
"Rps21",3.64323965997398e-22,-0.813821726299811,1,1,8.88440423481254e-18
"Eif2ak2",9.8206504472987e-22,1.41603524373998,1,1,2.39486381807826e-17
"Bst2",1.45325301620517e-21,3.80846815119684,1,1,3.54390280531794e-17
"Gm42418",3.82045694208301e-21,1.45851938837386,1,1,9.31656629896363e-17
"Xaf1",4.55592423586999e-20,2.52253337741505,1,1,1.11100768415926e-15
"Irf7",1.23992287586052e-19,3.08593779320806,1,1,3.02367592507347e-15
"Zbp1",2.74791130267474e-19,2.61910395628685,1,1,6.70105650270263e-15
"Stat1",1.07813644963776e-18,2.23679956374361,1,1,2.62914354608665e-14
"Arl6ip5",2.38092711786541e-18,1.00727908861153,1,1,5.80612886962658e-14
"Rps28",3.51200889690338e-18,-0.716484892468371,1,1,8.56438489598857e-14
"mt-Nd4l",3.86898238481343e-18,-0.804316480217488,1,1,9.43490044360602e-14
"Trim12a",1.18257458293692e-17,1.21217061746113,1,1,2.88382637794997e-13
"Rpl37",2.39068682794252e-17,-0.674411438705762,1,1,5.82992889862064e-13
"Mgp",5.43522157899958e-17,1.29233462107854,1,1,1.32543313425484e-12
