"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ifit2",7.19604368148599e-59,4.37670540638475,1,1,1.75482721216717e-54
"Ifit3",5.1229052411772e-46,4.08741660161644,1,1,1.24927167211347e-41
"Rsad2",1.84968463898484e-42,5.21137411808213,1,1,4.51064096062842e-38
"Gbp2",3.26069789626168e-38,3.59963210538159,1,1,7.95153788982372e-34
"Ifit1",1.35548453561232e-36,3.56417214907813,1,1,3.30548458854421e-32
"Isg15",4.05495414067073e-36,4.16166682095832,1,1,9.88841116743965e-32
"Cxcl10",1.95312592218841e-35,4.82586401097313,1,1,4.76289287384866e-31
"Zbp1",6.37448394538062e-35,3.02973324005542,1,1,1.55448165492052e-30
"Oasl1",8.02302054955172e-33,3.48609979827842,1,1,1.95649379121368e-28
"Irf7",1.1563788514201e-32,3.49144213099485,1,1,2.81994546707305e-28
"Mt1",5.00378949104042e-31,-2.35262187313895,1,1,1.22022410528512e-26
"Ifit3b",6.08474521434547e-31,3.11920036009367,1,1,1.48382596797029e-26
"Ly6c2",1.22917024421644e-30,3.9010024552891,1,1,2.99745455754621e-26
"Isg20",1.4621157503621e-30,2.95609292523727,1,1,3.56551546883302e-26
"Usp18",2.85460098785376e-30,3.17275143829299,1,1,6.96122996898018e-26
"Phf11d",6.52591454943289e-28,3.13393234671218,1,1,1.59140952202471e-23
"Cfb",3.52683520629701e-27,3.6866257212461,1,1,8.60054033407589e-23
"AA467197",3.05566033284856e-26,2.68712006551965,1,1,7.4515332876845e-22
"Ifi205",3.63503118797e-26,2.89503112969734,1,1,8.86438705498364e-22
"Ifi47",5.60736906851046e-26,2.67754217778785,1,1,1.36741302104696e-21
"Il1rn",1.77071715449695e-25,2.77596782507438,1,1,4.31807085295625e-21
"Ifi204",1.41194823458058e-24,3.26353556927449,1,1,3.44317696484821e-20
"Slfn1",5.04665392255519e-23,2.72375253728518,1,1,1.23067702555431e-18
"Calhm6",2.41496973350675e-22,2.70934732492755,1,1,5.88914519212956e-18
"Ifi211",6.22196081733583e-22,2.45554244984227,1,1,1.51728736491552e-17
"Fcgr1",1.12410329737039e-21,2.53408551918823,1,1,2.74123830096743e-17
"Ifi213",2.02674303454768e-21,3.10126390144451,1,1,4.94241556404798e-17
"Ifih1",2.0734556007253e-20,3.34299519381345,1,1,5.05632882792872e-16
"Rtp4",5.04038749232424e-20,2.52905033069577,1,1,1.22914889387819e-15
"Ms4a6d",6.96134579058336e-20,2.29991341994415,1,1,1.69759378449166e-15
"Ly6i",5.38420658745019e-19,2.31600397384258,1,1,1.3129926184156e-14
"Oas3",5.80571618889968e-19,2.25616495687569,1,1,1.41578194982508e-14
"Lgals9",1.24397726556322e-18,2.67706821156032,1,1,3.03356295980248e-14
"Cmpk2",3.66813687920883e-18,2.86490866991252,1,1,8.94511859363865e-14
"Ifi209",6.22417050136612e-18,2.40862928446168,1,1,1.51782621846314e-13
"Xaf1",2.35513817446457e-17,2.15426336496152,1,1,5.74323995224929e-13
"Phf11b",2.88185331532347e-17,2.33313502858821,1,1,7.02768749474782e-13
"Sp140",5.26854379446348e-17,2.49274055896536,1,1,1.28478708971786e-12
"Stat2",6.09974987679639e-17,2.74291256636109,1,1,1.48748500495557e-12
"Znfx1",6.39960276775762e-17,2.43991056529701,1,1,1.56060713094537e-12
"Ass1",1.22798240044702e-15,2.09504956720722,1,1,2.9945578817301e-11
"Phf11a",4.61068431831382e-15,1.93971494605399,1,1,1.12436147786401e-10
"Scimp",9.82390458381098e-15,1.9714475887281,1,1,2.39565737180814e-10
"Ccl12",2.27645395401372e-14,2.53074091349879,0.75,1,5.55136061225785e-10
"Daxx",2.2896484769091e-14,2.92316424718853,1,1,5.58353677579054e-10
"Ndufa4",3.87455326255352e-14,-1.01696149463729,1,1,9.44848558606301e-10
"Oasl2",5.19408202173378e-14,2.84170920066176,1,1,1.26662884182e-09
"Slfn8",5.89711461794346e-14,2.86042448652611,1,1,1.43807037073169e-09
"Ifi208",7.22554761853632e-14,2.10697389513809,1,0.667,1.76202204225627e-09
"AW011738",9.79013688883523e-14,1.71662992689727,0.75,1,2.38742278171136e-09
"Ube2l6",1.19624919220474e-13,1.80924574528304,1,1,2.91717328011049e-09
"Ms4a4c",1.95484351630581e-13,2.45365508543908,1,1,4.76708139886334e-09
"Stat1",2.6196844045328e-13,2.02544511932978,1,1,6.38836238889368e-09
"Rpl36a",2.91834184267875e-13,-1.69715702258799,1,1,7.1166684175564e-09
"Rpl22l1",5.87505115450687e-13,-0.730612790964051,1,1,1.43268997453804e-08
"Gm10076",6.75344357793872e-13,-1.44877247588456,1,1,1.64689475091614e-08
"Slfn4",6.91789488479936e-13,4.14866275249229,1,0.667,1.68699784660717e-08
"Nt5c3",8.8932679233116e-13,2.49405035491287,1,1,2.16871231577877e-08
"Cd40",9.23252824979353e-13,2.05025244815767,1,1,2.25144433899465e-08
"Parp12",1.08750165577378e-12,1.86857843291824,1,1,2.65198153776994e-08
"Psmb10",1.21608395877117e-12,1.88467559666299,1,1,2.96554234185937e-08
"Igtp",2.48253484941674e-12,2.36897377041882,1,1,6.05390948378767e-08
"Sp110",4.05969863476572e-12,2.29456282295227,1,1,9.89998109073968e-08
"Irgm1",5.45494794039891e-12,1.77660350110689,1,1,1.33024360474568e-07
"mt-Nd3",6.8564850323452e-12,-0.621776223689939,1,1,1.6720224399877e-07
"Rnf213",7.61423699664656e-12,2.20398047729701,1,1,1.85680783400223e-07
"Ccl7",1.04863336959971e-11,1.59301583969771,0.75,1,2.55719733510586e-07
"mt-Nd4l",1.15115909702168e-11,-1.078649353339,1,1,2.80721657399706e-07
"C3",1.62059112379618e-11,2.75943522707158,1,1,3.95197351448938e-07
"Uqcrh",1.6446233868917e-11,-1.27503505311337,1,1,4.01057859127411e-07
"Tnip3",1.6680708074288e-11,-1.42136356476637,1,1,4.06775747099588e-07
"Socs1",1.96469292295548e-11,2.3618456102103,1,1,4.79110016191923e-07
"Eif3f",2.01045525225902e-11,-0.832972107263439,1,1,4.90269617815886e-07
"Ddx60",2.259385018119e-11,1.70309367588038,1,0.667,5.509736305185e-07
"Fgl2",2.63507357209181e-11,2.04101258523642,1,1,6.42589041290309e-07
"Apod",3.05452479054671e-11,2.16625242429808,0.75,0,7.4487641542272e-07
"Serpina3g",3.05846386138366e-11,3.76256639300359,1,0.667,7.4583699723702e-07
"Slfn5",3.43405995225585e-11,2.3758176053285,1,1,8.37429859957111e-07
