"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ubc",3.24835770034795e-70,-0.885109307613662,1,1,7.92144508806852e-66
"Gm42418",1.61342601859838e-68,1.12536831492547,1,1,3.93450068895402e-64
"Atp5j",1.08345597919587e-63,-0.608258362922162,1,1,2.64211575086705e-59
"Ppia",2.08301898379525e-63,-0.499854776052123,1,1,5.07965009388309e-59
"Sem1",3.80401086104374e-63,-0.609149989213993,1,1,9.27646088574127e-59
"Hspa8",2.50232343456608e-57,-0.397492776813859,1,1,6.10216592753285e-53
"Btf3",7.60225117700431e-57,-0.601671390140439,1,1,1.85388497202427e-52
"Pfn1",6.37501389886987e-56,-0.887265819663179,1,1,1.55461088937841e-51
"Atf5",1.53950406434603e-55,-0.540280478712562,1,1,3.75423461131422e-51
"Tuba1a",3.92879174025077e-55,-0.440231999487354,1,1,9.58075153777552e-51
"Cox8a",3.08521062818624e-54,-0.54282504975243,1,1,7.52359463789495e-50
"Rpl9",7.39870303037731e-54,-0.42346217673145,1,1,1.80424772098781e-49
"Cd81",7.90394598563924e-52,-0.544210893691504,1,1,1.92745626805798e-47
"Rps2",3.77605193619186e-51,-0.666377065087174,1,1,9.20828025159746e-47
"Atp6v0c",2.07769856332268e-50,-0.632818383467998,1,1,5.06667571651868e-46
"Rpl39",2.23187638546522e-50,-0.546958291657932,1,1,5.44265375359549e-46
"Ube2s",4.82467393774246e-49,-0.485829479031121,1,1,1.17654498645788e-44
"Ndfip1",1.94936409118707e-48,-0.449552425545567,1,1,4.7537192727688e-44
"Atp5h",2.18133432148567e-48,-0.493005930554554,1,1,5.31940187637494e-44
"Rps16",2.9453336693344e-48,-0.485486635775532,1,1,7.18249068603886e-44
"Rps15a",3.19749738681983e-48,-0.595077512201055,1,1,7.79741712749884e-44
"Mt1",1.66915952580973e-47,-0.534895051961616,1,1,4.07041241963962e-43
"Myl12b",3.74717523323734e-47,-0.716857148574986,1,1,9.13786152377257e-43
"Ckb",3.00580712910614e-46,-0.469973035168008,1,1,7.32996126503824e-42
"Pkm",3.66563816610862e-46,-0.499339075187961,1,1,8.93902523187249e-42
"Sumo2",1.17130150300509e-45,-0.533653110003326,1,1,2.85633584522821e-41
"Dynll1",2.32673656183387e-44,-0.505605666395527,1,1,5.67397977968808e-40
"Sub1",3.33234902356009e-44,-0.419202103324695,1,1,8.12626632885364e-40
"Rpl22",1.39390489728149e-43,-0.680467543007974,1,1,3.39917648251065e-39
"Selenok",1.52623209079985e-43,-0.54563105670088,1,1,3.72186957662451e-39
"Fetub",6.06664589847743e-43,-0.476640645640718,1,1,1.47941226880271e-38
"Cyp2g1",4.65610496751369e-42,1.83122769926793,1,1,1.13543775737789e-37
"Naca",1.25646890999122e-41,-0.554989121423449,1,1,3.06402508390458e-37
"Mdh1",1.79337122471294e-41,-0.470774044167178,1,1,4.37331506858498e-37
"Ubb",3.42256864202594e-41,-0.375722938533744,1,1,8.34627589044445e-37
"Tubb4b",5.92830092222553e-41,-0.427291950906666,1,1,1.44567546289392e-36
