"","Adipocytes","Ambiguous_Doublet","Astrocytes","B cells","Cardiomyocytes","Dendritic cells","Endothelial cells","Epithelial cells","Erythrocytes","Fibroblasts","Granulocytes","Hepatocytes","Macrophages","Microglia","Monocytes","Neurons","NK cells","Oligodendrocytes","T cells"
"0",0,28,0,0,0,0,0,1560,0,0,0,0,0,0,0,11608,0,2,0
"1",0,136,0,2,0,1,0,2,1,2,4,0,9228,691,1486,0,1,0,2
"2",0,34,0,0,0,0,0,1047,0,0,0,0,0,0,0,9215,0,1,0
"3",450,1985,0,9,0,0,535,297,3,6395,2,426,7,0,14,1,9,2,64
"4",0,28,0,0,0,0,0,645,0,1,0,0,0,0,0,7001,0,0,0
"5",0,6,0,7131,0,0,0,0,0,0,0,0,1,0,9,0,1,0,2
"6",0,10,0,13,0,1,0,0,0,0,0,0,0,0,9,0,2666,0,3550
"7",0,33,0,473,0,35,1,1,1,0,11,0,160,0,5351,0,4,0,11
"8",0,449,0,0,0,0,4,55,0,0,0,0,0,0,1,5339,0,15,3
"9",0,85,0,0,0,0,0,558,0,0,0,0,0,0,0,5095,0,2,0
"10",0,2,0,0,0,0,5615,1,0,5,0,0,0,0,0,0,0,0,0
"11",0,18,0,1,0,111,0,2,1,2,4572,0,5,0,141,0,33,0,3
"12",14,643,1,2,0,0,193,1636,0,2263,0,41,4,0,1,0,2,0,1
"13",3,8,0,0,0,0,12,0,0,4593,1,0,1,0,1,1,4,1,0
"14",107,846,0,6,0,0,364,1352,2,510,6,1361,4,0,9,0,2,0,6
"15",0,0,0,1,0,4,0,0,0,0,3,0,22,0,4375,0,0,0,0
"16",0,33,0,0,0,0,0,274,0,0,0,0,0,0,0,4044,0,0,0
"17",0,21,0,0,0,0,0,280,0,0,0,0,0,0,0,3844,0,0,0
"18",14,893,0,0,0,0,48,2354,0,135,0,25,1,0,1,2,0,0,2
"19",0,1,0,0,0,0,0,0,5,0,2870,0,0,0,15,0,1,0,1
"20",8,1310,0,9,0,0,79,855,0,70,1,432,5,0,8,0,7,0,4
"21",1,11,0,1,69,0,34,3,0,2576,0,1,1,0,0,0,2,0,1
"22",3,166,0,6,0,0,34,2219,0,26,0,7,1,0,1,0,0,0,1
"23",0,3,0,2404,0,0,0,0,6,0,1,0,0,0,4,0,0,0,0
"24",0,429,0,2,0,0,1,4,9,4,0,0,1,1,2,1822,2,12,1
"25",4,1198,68,14,0,0,35,34,0,485,0,0,7,0,10,146,7,245,11
"26",1,370,0,7,0,0,42,1400,1,96,2,161,4,0,2,0,5,0,2
"27",0,7,0,588,0,1,1,0,176,0,33,0,13,0,641,0,42,0,217
"28",3,1313,0,11,0,0,25,270,0,39,5,21,8,0,5,1,2,0,4
"29",0,1345,0,7,0,0,38,49,2,16,0,143,0,0,2,1,3,0,3
"30",0,8,0,0,0,0,3,0,0,1491,0,0,1,0,3,0,0,0,0
"31",6,204,0,2,0,0,11,1012,0,22,2,147,4,0,9,0,0,0,2
"32",0,0,0,0,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,93,0,0,0,0,28,46,0,99,0,9,3,0,0,0,0,0,0
"34",1,174,0,0,0,0,6,2,0,3,11,28,3,0,4,0,0,0,0
