"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.04224111205844e-258,2.7658566248329,0.985,0.259,2.54160917586572e-254,"0","Dcdc2a"
8.67727686269185e-224,2.19294116405042,0.993,0.387,2.11604073573603e-219,"0","Sult1d1"
3.04368189985201e-222,2.21235151481767,1,0.439,7.42232268097911e-218,"0","Gnal"
2.01055199089791e-218,2.05323104842891,0.996,0.373,4.90293208500366e-214,"0","Prxl2b"
2.42017510643476e-218,2.31609924714055,0.971,0.238,5.90183901455181e-214,"0","Spef2"
1.3279790441587e-214,2.19200110015625,0.992,0.301,3.23840969708541e-210,"0","Scn9a"
1.59252176118635e-214,1.67322851862599,1,0.91,3.88352356682903e-210,"0","Calm2"
3.58711515771857e-212,2.26887132510078,0.954,0.244,8.74753902361251e-208,"0","Tom1"
3.73526362201929e-209,2.14035529821757,0.959,0.237,9.10881386865625e-205,"0","Acbd7"
3.83428311656958e-207,2.03396661748376,0.997,0.361,9.35028280806659e-203,"0","Stom"
5.10196600958113e-207,2.05721504949538,1,0.41,1.24416543109645e-202,"0","Chga"
8.1389740401558e-207,2.13735828564832,0.98,0.263,1.98477020943239e-202,"0","1700012B09Rik"
9.91977284567753e-207,2.12555909447784,0.982,0.254,2.41903580614692e-202,"0","Clgn"
4.49189320785048e-205,1.97422816648039,1,0.438,1.09539307766642e-200,"0","Fstl5"
1.17876700948349e-204,2.1154492173692,0.971,0.25,2.87454122932644e-200,"0","Cntn4"
4.06260057544778e-204,1.83074226157271,1,0.968,9.90705776328696e-200,"0","Calm1"
1.7908970791737e-203,2.14739688625862,0.968,0.245,4.36728161727299e-199,"0","Jakmip1"
2.82970459749993e-202,2.15414151330692,0.953,0.283,6.90051763146334e-198,"0","Pde6d"
4.62184579893642e-200,2.13090550859154,0.968,0.233,1.12708331652864e-195,"0","Umodl1"
1.09970187697589e-199,1.90850842991016,0.979,0.464,2.6817329971934e-195,"0","Cmip"
1.12294686377817e-196,1.97108263168452,1,0.49,2.73841822200944e-192,"0","Gng13"
1.5865200710164e-195,2.49868288307372,0.863,0.183,3.8688878451806e-191,"0","Cartpt"
6.49781005475915e-195,1.95726450993721,0.99,0.29,1.58455595995357e-190,"0","Plekhb1"
7.49294432194033e-195,2.5680232141354,0.896,0.196,1.82722940234837e-190,"0","Efna3"
2.22813472512151e-194,2.05854813825556,1,0.472,5.43352934068133e-190,"0","Stoml3"
1.67317553846111e-193,1.88944397715599,0.993,0.31,4.08020586809126e-189,"0","Aplp1"
2.73550841637378e-193,1.73647673478845,1,0.6,6.67081082416911e-189,"0","Tuba1a"
4.85940789969247e-192,1.9992802114244,0.976,0.27,1.18501521041901e-187,"0","Flrt1"
3.50960735560866e-191,2.02402468767774,0.986,0.353,8.55852849738728e-187,"0","Rtn1"
3.3419441502198e-189,2.30333158726832,0.908,0.223,8.14966500472601e-185,"0","Hist2h2be"
2.56655521092745e-188,1.61626377506445,0.997,0.731,6.25880153736768e-184,"0","Tubb4b"
2.16822619625929e-187,1.9656585418291,1,0.458,5.28743640219791e-183,"0","Omp"
2.673713181909e-187,2.132885857165,0.95,0.227,6.52011696540329e-183,"0","Cnga2"
1.02253506734104e-186,1.71673335207712,1,0.724,2.49355401521785e-182,"0","Gnb1"
