"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Umodl1",0,2.13090550859154,0.968,0.233,0,"0","Umodl1"
"Spef2",0,2.31609924714055,0.971,0.238,0,"0","Spef2"
"Clgn",0,2.12555909447784,0.982,0.254,0,"0","Clgn"
"Dcdc2a",0,2.7658566248329,0.985,0.259,0,"0","Dcdc2a"
"Ctxn3",0,1.90902501400519,0.964,0.238,0,"0","Ctxn3"
"Jakmip1",0,2.14739688625862,0.968,0.245,0,"0","Jakmip1"
"Cnga2",0,2.132885857165,0.95,0.227,0,"0","Cnga2"
"Acbd7",0,2.14035529821757,0.959,0.237,0,"0","Acbd7"
"Cntn4",0,2.1154492173692,0.971,0.25,0,"0","Cntn4"
"Syt1",0,2.01647400697619,0.968,0.249,0,"0","Syt1"
"1700012B09Rik",0,2.13735828564832,0.98,0.263,0,"0","1700012B09Rik"
"Nrn1l",0,1.92397958872771,0.94,0.227,0,"0","Nrn1l"
"Tmem74bos",0,2.03673720383201,0.938,0.227,0,"0","Tmem74bos"
"Tom1",0,2.26887132510078,0.954,0.244,0,"0","Tom1"
"Adcy3",0,1.90119450266032,0.949,0.242,0,"0","Adcy3"
"Flrt1",0,1.9992802114244,0.976,0.27,0,"0","Flrt1"
"Pcolce2",0,2.06413185418767,0.953,0.248,0,"0","Pcolce2"
"Gramd1c",0,2.31346994749176,0.916,0.214,0,"0","Gramd1c"
"Ric8b",0,1.81553966477187,0.948,0.246,0,"0","Ric8b"
"Efna3",0,2.5680232141354,0.896,0.196,0,"0","Efna3"
"Plekhb1",0,1.95726450993721,0.99,0.29,0,"0","Plekhb1"
"Scn9a",0,2.19200110015625,0.992,0.301,0,"0","Scn9a"
"Elavl3",0,1.77914218486786,0.967,0.276,0,"0","Elavl3"
"Tspyl4",0,2.08542027543359,0.944,0.253,0,"0","Tspyl4"
"Acsl6",0,2.23923134275404,0.902,0.212,0,"0","Acsl6"
"Hist2h2be",0,2.30333158726832,0.908,0.223,0,"0","Hist2h2be"
"Cfap69",0,2.03432856199514,0.922,0.238,0,"0","Cfap69"
"Aplp1",0,1.88944397715599,0.993,0.31,0,"0","Aplp1"
"Uchl1",0,1.7628031534972,0.965,0.284,0,"0","Uchl1"
"Lrguk",0,2.4720103478879,0.872,0.191,0,"0","Lrguk"
"Fam81b",0,2.24630369450184,0.886,0.205,0,"0","Fam81b"
"Cartpt",0,2.49868288307372,0.863,0.183,0,"0","Cartpt"
"Ebf2",0,1.66285977116344,0.949,0.272,0,"0","Ebf2"
"Tspan7",0,1.97688373026934,0.927,0.253,0,"0","Tspan7"
"Manea",0,2.18564888517944,0.901,0.229,0,"0","Manea"
"Ak1",0,1.91928675290538,0.914,0.243,0,"0","Ak1"
"Oscp1",0,2.1539318939097,0.893,0.223,0,"0","Oscp1"
"Pde6d",0,2.15414151330692,0.953,0.283,0,"0","Pde6d"
"Lhx2",0,1.56779260971016,0.911,0.247,0,"0","Lhx2"
"Klhl5",0,2.11482037327765,0.928,0.268,0,"0","Klhl5"
"Ttll6",0,2.25689709823787,0.862,0.203,0,"0","Ttll6"
"Fgf12",0,1.6833558350903,0.891,0.232,0,"0","Fgf12"
"Kcnc4",0,2.01209415306119,0.86,0.204,0,"0","Kcnc4"
"Trnp1",0,1.93872522119767,0.902,0.246,0,"0","Trnp1"
"Rab6b",0,2.00864929994859,0.928,0.272,0,"0","Rab6b"
"Igsf8",0,1.81287030595796,0.963,0.308,0,"0","Igsf8"
"Faim2",0,1.8917041429935,0.875,0.22,0,"0","Faim2"
"Gm11992",0,2.46946629942651,0.829,0.175,0,"0","Gm11992"
"Stmn3",0,1.74959612134035,0.899,0.246,0,"0","Stmn3"
"Rtp1",0,2.26073724320234,0.853,0.2,0,"0","Rtp1"
"Rufy3",0,1.84743966244277,0.945,0.293,0,"0","Rufy3"
"Nrxn1",0,1.91760655198193,0.95,0.298,0,"0","Nrxn1"
