,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Broad_cluster,Cluster,revised_cluster
1,B830017H08Rik,0,3.215204096,0.706,0.109,0,0,B830017H08Rik,Neuron,Calb2+ OSN,Mature OSN
2,Calb2,0,3.075471765,0.523,0.064,0,0,Calb2,Neuron,Calb2+ OSN,Mature OSN
3,Nqo1,0,3.007099357,0.509,0.135,0,0,Nqo1,Neuron,Calb2+ OSN,Mature OSN
4,Kirrel3,0,2.893809287,0.344,0.051,0,0,Kirrel3,Neuron,Calb2+ OSN,Mature OSN
5,Rims3,0,2.830930295,0.376,0.057,0,0,Rims3,Neuron,Calb2+ OSN,Mature OSN
6,Dcdc2a,0,2.765856625,0.985,0.259,0,0,Dcdc2a,Neuron,Calb2+ OSN,Mature OSN
7,Scgn,0,2.67729061,0.404,0.069,0,0,Scgn,Neuron,Calb2+ OSN,Mature OSN
8,Unc13c,0,2.617783275,0.603,0.111,0,0,Unc13c,Neuron,Calb2+ OSN,Mature OSN
9,Efna5,0,2.581231062,0.592,0.123,0,0,Efna5,Neuron,Calb2+ OSN,Mature OSN
10,Kcnk10,0,2.580221994,0.599,0.111,0,0,Kcnk10,Neuron,Calb2+ OSN,Mature OSN
11,Ano21,0,2.360886916,0.812,0.183,0,1,Ano2,Neuron,,Mature OSN
12,Gramd1c1,0,2.309643266,0.904,0.218,0,1,Gramd1c,Immune,,Mature OSN
13,Stoml31,0,2.283581812,1,0.474,0,1,Stoml3,Neuron,,Mature OSN
14,Gldc1,0,2.274914491,0.498,0.108,0,1,Gldc,,,Mature OSN
15,Gm68781,0,2.272618393,0.372,0.08,0,1,Gm6878,,,Mature OSN
16,A730046J19Rik1,0,2.269430301,0.75,0.165,0,1,A730046J19Rik,,,Mature OSN
17,Cnga41,0,2.267711072,0.836,0.189,0,1,Cnga4,,,Mature OSN
18,Cnga21,0,2.257825533,0.946,0.231,0,1,Cnga2,,,Mature OSN
19,Pde4a1,0,2.253009444,0.907,0.238,0,1,Pde4a,,,Mature OSN
20,Ric8b1,0,2.252052803,0.969,0.247,0,1,Ric8b,,,Mature OSN
21,Fcrls,0,9.32945238,0.483,0.003,0,2,Fcrls,Myeloid,Macrophage,MHC-II Hi Macrophage
22,Ms4a7,0,7.572746204,0.909,0.013,0,2,Ms4a7,Myeloid,Macrophage,MHC-II Hi Macrophage
23,C1qa,0,7.495357977,0.987,0.018,0,2,C1qa,Myeloid,Macrophage,MHC-II Hi Macrophage
24,C1qc,0,7.471014366,0.98,0.016,0,2,C1qc,Myeloid,Macrophage,MHC-II Hi Macrophage
25,Pf4,0,7.356226503,0.483,0.006,0,2,Pf4,Myeloid,Macrophage,MHC-II Hi Macrophage
26,Trem2,0,7.133103062,0.693,0.014,0,2,Trem2,Myeloid,Macrophage,MHC-II Hi Macrophage
27,C1qb,0,7.053511571,0.986,0.02,0,2,C1qb,Myeloid,Macrophage,MHC-II Hi Macrophage
28,Mrc1,0,6.993644542,0.544,0.011,0,2,Mrc1,Myeloid,Macrophage,MHC-II Hi Macrophage
29,Gpr34,0,6.73922407,0.41,0.007,0,2,Gpr34,Myeloid,Macrophage,MHC-II Hi Macrophage
30,Ccl12,0,6.704257546,0.472,0.008,0,2,Ccl12,Myeloid,Macrophage,MHC-II Hi Macrophage
31,Acaa1b,0,6.92477826,0.307,0.003,0,3,Acaa1b,Epithelial,Resting Basal,IFN-Stim Basal
32,Serpinb5,0,6.418712333,0.451,0.007,0,3,Serpinb5,Epithelial,Resting Basal,IFN-Stim Basal
33,Krt15,0,5.682106252,0.79,0.028,0,3,Krt15,Epithelial,Resting Basal,IFN-Stim Basal
34,Defb1,0,5.270011724,0.531,0.015,0,3,Defb1,Epithelial,Resting Basal,IFN-Stim Basal
35,Anxa8,0,5.0577731,0.616,0.024,0,3,Anxa8,Epithelial,Resting Basal,IFN-Stim Basal
36,Ifi202b,0,5.045141073,0.28,0.008,0,3,Ifi202b,Epithelial,Resting Basal,IFN-Stim Basal
37,Sfn,0,4.996412135,0.883,0.075,0,3,Sfn,Epithelial,Resting Basal,IFN-Stim Basal
38,Ccdc3,0,4.980569534,0.735,0.037,0,3,Ccdc3,Epithelial,Resting Basal,IFN-Stim Basal
39,Adh7,0,4.838700195,0.844,0.047,0,3,Adh7,Epithelial,Resting Basal,IFN-Stim Basal
40,F3,0,4.832802254,0.919,0.086,0,3,F3,Epithelial,Resting Basal,IFN-Stim Basal
41,Cd79a,0,9.346275042,0.97,0.007,0,4,Cd79a,Immune,B cell,B-cell
42,Iglc1,0,9.202405804,0.335,0.003,0,4,Iglc1,Immune,,B-cell
43,Iglc2,0,9.055747447,0.617,0.004,0,4,Iglc2,Immune,,B-cell
44,Igkc,0,8.74074098,0.906,0.016,0,4,Igkc,Immune,,B-cell
45,Pax5,0,8.721970643,0.503,0.003,0,4,Pax5,Immune,,B-cell
46,Ms4a1,0,8.503063537,0.635,0.004,0,4,Ms4a1,Immune,,B-cell
47,Fcmr,0,8.485059234,0.498,0.003,0,4,Fcmr,Immune,,B-cell
48,Fcer2a,0,8.407659382,0.309,0.002,0,4,Fcer2a,Immune,,B-cell
49,Ighd,0,8.333052662,0.53,0.005,0,4,Ighd,Immune,,B-cell
50,Cd19,0,8.312645888,0.289,0.002,0,4,Cd19,Immune,,B-cell
51,Hectd2os,0,3.070066579,0.285,0.038,0,5,Hectd2os,Neuron,Dlg2+ OSN,Mature OSN
52,S100a51,0,2.813702643,1,0.49,0,5,S100a5,Neuron,Dlg2+ OSN,Mature OSN
53,Rgs7,0,2.732139611,0.336,0.053,0,5,Rgs7,Neuron,Dlg2+ OSN,Mature OSN
54,Kcnmb3,0,2.716560258,0.412,0.067,0,5,Kcnmb3,Neuron,Dlg2+ OSN,Mature OSN
55,Lrrc3b1,0,2.639005933,0.423,0.073,0,5,Lrrc3b,Neuron,Dlg2+ OSN,Mature OSN
56,Kirrel22,0,2.622777653,0.844,0.171,0,5,Kirrel2,Neuron,Dlg2+ OSN,Mature OSN
57,Pcp4l11,0,2.615655328,0.987,0.347,0,5,Pcp4l1,Neuron,Dlg2+ OSN,Mature OSN
58,Dlg21,0,2.516738562,0.651,0.142,0,5,Dlg2,Neuron,Dlg2+ OSN,Mature OSN
59,Trim452,0,2.423224303,0.61,0.132,0,5,Trim45,Neuron,Dlg2+ OSN,Mature OSN
60,5730403I07Rik2,0,2.418647229,0.806,0.175,0,5,5730403I07Rik,Neuron,Dlg2+ OSN,Mature OSN
61,Col1a1,0,10.50674614,0.786,0.02,0,6,Col1a1,Fibroblast,Fibroblast,Fibroblast
62,Lum,0,10.43476759,0.573,0.002,0,6,Lum,Fibroblast,Fibroblast,Fibroblast
63,Omd,0,10.30874726,0.432,0.001,0,6,Omd,Fibroblast,Fibroblast,Fibroblast
64,Wif1,0,10.15134667,0.316,0.001,0,6,Wif1,Fibroblast,Fibroblast,Fibroblast
65,Col1a2,0,9.989459188,0.878,0.024,0,6,Col1a2,Fibroblast,Fibroblast,Fibroblast
66,Ecrg4,0,9.914077506,0.378,0.002,0,6,Ecrg4,Fibroblast,Fibroblast,Fibroblast
67,Cpxm1,0,9.498540023,0.455,0.002,0,6,Cpxm1,Fibroblast,Fibroblast,Fibroblast
68,Itgbl1,0,9.366592699,0.263,0.001,0,6,Itgbl1,Fibroblast,Fibroblast,Fibroblast
69,Apod,0,9.32872349,0.603,0.017,0,6,Apod,Fibroblast,Fibroblast,Fibroblast
70,Col11a1,0,9.315540625,0.535,0.004,0,6,Col11a1,Fibroblast,Fibroblast,Fibroblast
71,Nhlh1,0,8.404326589,0.55,0.002,0,7,Nhlh1,Neuron,Neural Progenitor/Differentiating OSN,Neural Progenitor
72,Thsd7b,0,8.068832993,0.4,0.002,0,7,Thsd7b,Neuron,,Neural Progenitor
73,Gng8,0,7.490173448,0.78,0.013,0,7,Gng8,Neuron,,Neural Progenitor
74,Cnpy1,0,7.36600769,0.316,0.003,0,7,Cnpy1,Neuron,,Neural Progenitor
75,Sox11,0,7.35315373,0.874,0.045,0,7,Sox11,Neuron,,Neural Progenitor
76,Nhlh2,0,6.469232806,0.532,0.016,0,7,Nhlh2,Neuron,,Neural Progenitor
77,Stk32a,0,6.287851254,0.46,0.014,0,7,Stk32a,Neuron,,Neural Progenitor
78,Mex3a,0,6.256154141,0.542,0.017,0,7,Mex3a,Neuron,,Neural Progenitor
79,Ooep,0,6.23724685,0.292,0.006,0,7,Ooep,Neuron,,Neural Progenitor
80,Gap43,0,6.204845001,0.71,0.04,0,7,Gap43,Neuron,,Neural Progenitor
81,Cd209a,0,7.393370023,0.291,0.003,0,8,Cd209a,Immune,,IFN-Stim DC
82,Ifi205,0,6.687833128,0.386,0.007,0,8,Ifi205,Immune,,IFN-Stim DC
83,Phf11a,0,5.372689536,0.324,0.01,0,8,Phf11a,Immune,,IFN-Stim DC
84,Tnfsf9,0,5.089718491,0.272,0.017,0,8,Tnfsf9,Immune,,IFN-Stim DC
85,Ms4a4c,0,4.989220442,0.639,0.051,0,8,Ms4a4c,Immune,,IFN-Stim DC
86,Slamf8,0,4.967505561,0.315,0.011,0,8,Slamf8,Immune,,IFN-Stim DC
87,Kmo,0,4.899999969,0.261,0.008,0,8,Kmo,Immune,,IFN-Stim DC
88,Tnip3,0,4.848752102,0.39,0.021,0,8,Tnip3,Immune,,IFN-Stim DC
89,Clec10a,0,4.649787532,0.258,0.013,0,8,Clec10a,Immune,,IFN-Stim DC
90,Cd40,0,4.583789976,0.305,0.016,0,8,Cd40,Immune,,IFN-Stim DC
91,Gpihbp1,0,10.97670393,0.39,0.001,0,9,Gpihbp1,Endothelial,,Endothelial
92,Ptprb,0,9.920207675,0.894,0.003,0,9,Ptprb,Endothelial,,Endothelial
93,Rbp7,0,9.900496045,0.282,0.001,0,9,Rbp7,Endothelial,,Endothelial
94,Sox18,0,9.823661891,0.513,0.001,0,9,Sox18,Endothelial,,Endothelial
95,Sox17,0,9.741874937,0.419,0.001,0,9,Sox17,Endothelial,,Endothelial
96,Emcn,0,9.739349414,0.774,0.003,0,9,Emcn,Endothelial,,Endothelial
97,Cyyr1,0,9.511645306,0.659,0.002,0,9,Cyyr1,Endothelial,,Endothelial
98,Tie1,0,9.356064514,0.537,0.001,0,9,Tie1,Endothelial,,Endothelial
99,Robo4,0,9.351956345,0.373,0.001,0,9,Robo4,Endothelial,,Endothelial
100,Myct1,0,9.31498653,0.48,0.001,0,9,Myct1,Endothelial,,Endothelial
101,Gzma,0,10.62852621,0.347,0.004,0,10,Gzma,T+NK,,T+NK
102,Prf1,0,10.31165102,0.311,0.001,0,10,Prf1,T+NK,,T+NK
103,Sh2d1a,0,10.02815321,0.287,0,0,10,Sh2d1a,T+NK,,T+NK
104,Cd3g,0,9.861832014,0.607,0.002,0,10,Cd3g,T+NK,,T+NK
105,Cd3e,0,9.825320609,0.526,0.001,0,10,Cd3e,T+NK,,T+NK
106,Trbc1,0,9.73933852,0.484,0.001,0,10,Trbc1,T+NK,,T+NK
107,Trbc2,0,9.684105473,0.712,0.003,0,10,Trbc2,T+NK,,T+NK
108,Fasl,0,9.666158829,0.372,0.001,0,10,Fasl,T+NK,,T+NK
109,Il2rb,0,9.62585699,0.661,0.002,0,10,Il2rb,T+NK,,T+NK
110,Klrb1c,0,9.61338678,0.277,0.001,0,10,Klrb1c,T+NK,,T+NK
111,Dlg22,0,4.479808414,0.84,0.142,0,11,Dlg2,Neuron,Dlg2+ OSN,Dlg2+ OSN
112,S100a52,0,4.246830115,1,0.497,0,11,S100a5,Neuron,Dlg2+ OSN,Dlg2+ OSN
